,Beds,Baths,Square Ft,Type,Year Built,Lot Size,Stories,Address,Price
0,4,3,"4,346",Multi-Family (5+ Unit),1910,"5,700 Sq. Ft.",2,"3028 Colby St,Berkeley, CA 94705","$2,495,000"
0,4,4,"3,812",Single Family Residential,—,0.29 Acres,—,"715 Santa Barbara,Berkeley, CA 94707","$3,400,000"
0,1,1,"1,130",Condo/Co-op,—,—,—,"2747 San Pablo Ave Unit LW1,Berkeley, CA 94702","$648,000"
0,2,1,896,Single Family Residential,—,0.4 Acres,—,"2747 San Pablo Ave #504,Berkeley, CA 94702","$798,000"
0,4,2,"1,862",Single Family Residential,1910,"4,550 Sq. Ft.",1,"2310 Tenth St,Berkeley, CA 94710","$1,599,000"
0,1,1,899,Condo/Co-op,1924,—,2,"2287 Cedar St,BERKELEY, CA 94709","$799,950"
0,3,2,"2,630",Single Family Residential,2002,"1,939 Sq. Ft.",2,"Undisclosed Address,Berkeley, CA 94710","$1,825,000"
0,1,1,679,Single Family Residential,—,—,—,"1730 Highland Pl #1,Berkeley, CA 94709","$639,000"
0,4,3.5,"2,960",Vacant Land,—,—,—,"90 Vicente Rd,Berkeley, CA 94705","$2,985,000"
0,3,2.5,"1,831",Multi-Family (2-4 Unit),1897,"5,360 Sq. Ft.",1,"972 63Rd St,Oakland, CA 94608","$1,495,000"
0,3,2,"1,259",Single Family Residential,1930,"5,400 Sq. Ft.",1,"814 60Th St,Oakland, CA 94608","$850,000"
0,2,2,"1,023",Single Family Residential,1919,"3,334 Sq. Ft.",1.5,"837 Hearst Ave,Berkeley, CA 94710","$949,000"
0,—,1,862,Single Family Residential,—,—,—,"1312 4th St,Berkeley, CA 94710","$549,900"
0,6,3.5,"2,654",Single Family Residential,1927,"3,700 Sq. Ft.",2,"1306 Channing Way,BERKELEY, CA 94702","$1,650,000"
0,4,4,"3,569",Single Family Residential,1995,"6,552 Sq. Ft.",2,"122 Vicente Rd,Berkeley, CA 94705","$2,750,000"
0,7,5,"2,785",Multi-Family (2-4 Unit),1900,"4,500 Sq. Ft.",2,"823 60Th St,Oakland, CA 94608","$1,500,000"
0,3,4,"3,851",Single Family Residential,—,"6,750 Sq. Ft.",—,"524 Cragmont Ave,Berkeley, CA 94708","$3,699,000"
0,3,2,"1,168",Single Family Residential,1905,"4,800 Sq. Ft.",1,"2020 Blake St,Berkeley, CA 94704","$975,000"
0,3,3,"2,773",Single Family Residential,1994,"10,672 Sq. Ft.",1.5,"171 Vicente,Berkeley, CA 94705","$2,650,000"
0,6,4,"4,217",Single Family Residential,2001,"8,117 Sq. Ft.",2.5,"252 Gravatt Dr,Berkeley, CA 94705","$2,950,000"
0,2,1,834,Single Family Residential,1927,"1,960 Sq. Ft.",1.5,"2443 Spaulding Ave,Berkeley, CA 95703","$799,950"
0,2,1,934,Single Family Residential,1921,"3,750 Sq. Ft.",1,"1505 Russell St,Berkeley, CA 94703","$1,075,000"
0,4,3,"2,140",Single Family Residential,1930,"2,880 Sq. Ft.",1,"2356 Marin Ave,Berkeley, CA 94708","$1,698,000"
0,3,3,"2,155",Single Family Residential,1920,"4,000 Sq. Ft.",2,"3024 Stanton St,Berkeley, CA 94702","$1,499,000"
0,5,4.5,"3,943",Single Family Residential,2002,"8,319 Sq. Ft.",3,"1215 Alvarado Rd,Berkeley, CA 94705","$2,900,000"
0,3,3,"1,662",Single Family Residential,1946,"5,000 Sq. Ft.",1,"33 Avon Rd,Kensington, CA 94707","$1,649,500"
0,3,3.5,"2,218",Single Family Residential,1913,"3,608 Sq. Ft.",1,"38 Panoramic Way,BERKELEY, CA 94704","$1,720,000"
