,Beds,Baths,Square Ft,Type,Year Built,Lot Size,Stories,Address,Price
0,3,2,"1,727",Single Family Residential,1953,"5,616 Sq. Ft.",1,"1109 Woodside Rd, Berkeley, CA 94708","$1,462,204"
0,3,1,"1,425",Single Family Residential,1889,"3,300 Sq. Ft.",1.5,"2112 6Th St, Berkeley, CA 94710","$1,021,963"
0,4,2,"1,880",Single Family Residential,1927,"4,365 Sq. Ft.",2,"308 Vassar Ave, Kensington, CA 94708","$1,605,499"
0,3,2,"1,517",Single Family Residential,—,—,—,"768 Page St, Berkeley, CA 94710","$1,337,415"
0,4,4.5,"4,547",No,Yes,2,3,"7030 Devon Way, Berkeley, CA 94705","$2,263,553"
0,3,1,"1,006",Single Family Residential,1944,"5,054 Sq. Ft.",1,"1518 Parker St, Berkeley, CA 94703","$1,056,887"
0,2,2,"1,848",Single Family Residential,1941,"6,240 Sq. Ft.",1,"2912 Russell St, Berkeley, CA 94705","$1,991,223"
0,3,2,"1,517",Single Family Residential,—,—,—,"764 Page St, Berkeley, CA 94710","$1,338,534"
0,3,2,"2,458",Single Family Residential,1926,"5,000 Sq. Ft.",1,"1880 San Ramon Ave, Berkeley, CA 94707","$1,943,926"
0,2,1,984,Single Family Residential,1928,"4,810 Sq. Ft.",1,"1616 Dwight Way, Berkeley, CA 94703","$1,086,988"
0,7,4.5,"5,518",Single Family Residential,1907,0.28 Acres,2.5,"2967 Avalon Ave, Berkeley, CA 94705","$4,669,521"
0,4,2,"1,804",Single Family Residential,1906,"4,800 Sq. Ft.",1.5,"1732 Carleton St, Berkeley, CA 94703","$1,106,772"
0,4,1.5,"2,563",Single Family Residential,1912,"5,100 Sq. Ft.",2,"2717 Forest Ave, Berkeley, CA 94705","$2,467,440"
0,3,3,"1,857",Single Family Residential,2011,"1,776 Sq. Ft.",3,"6409 Benvenue Ave, Oakland, CA 94618","$1,845,868"
0,5,4,"3,328",Single Family Residential,1955,0.48 Acres,1,"1051 Woodside Rd, Berkeley, CA 94708","$2,549,111"
0,7,5,"3,965",Multi-Family (2-4 Unit),1944,"5,400 Sq. Ft.",2,"1823 62nd St, Berkeley, CA 94703","$1,781,517"
